City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Cititel Penang
6,Mazagao,BR,86.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
13,Oranjestad,AW,84.9,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
29,Malanville,BJ,76.42,scattered clouds,11.8685,3.3899,Hotel Sejour du Sahel
31,Wajir,KE,79.38,light rain,1.7471,40.0573,Mahatallah Hotel
32,Manta,EC,76.78,clear sky,-0.95,-80.7333,Balandra Hotel
34,Porangatu,BR,81.46,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
36,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
41,Bandarbeyla,SO,78.96,few clouds,9.4942,50.8122,JABIR HOTEL
53,Sao Filipe,CV,75.96,broken clouds,14.8961,-24.4956,Hotel Xaguate
57,Chulumani,BO,75.9,broken clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
59,Port Blair,IN,76.46,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
68,Cape Coral,US,86.07,clear sky,26.5629,-81.9495,"Hampton Inn & Suites - Cape Coral/Fort Myers Area, FL"
75,Tsabong,BW,82.08,scattered clouds,-26.0217,22.401,Springbok Motel
76,Sokoni,TZ,79.43,clear sky,-6.4333,39.55,Ujamaa Beach Resort
84,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Caninde,BR,86.5,clear sky,-4.3589,-39.3117,Hotel Casa Grande II
86,Ugoofaaru,MV,80.91,overcast clouds,5.6667,73.0,Ungoofaaru Inn
87,Manacapuru,BR,87.55,overcast clouds,-3.2997,-60.6206,Novo Hotel
94,Itarema,BR,78.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
96,Santa Isabel Do Rio Negro,BR,80.2,overcast clouds,-0.4139,-65.0192,Hotel GSA
97,Porto Novo,BJ,79.41,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
99,Bull Savanna,JM,80.6,scattered clouds,17.8868,-77.5902,Big Red's
104,Coihueco,CL,81.34,clear sky,-36.6167,-71.8333,"Frutillares, Coihueco"
105,Dangriga,BZ,82.72,light rain,16.9692,-88.2321,Chaleanor Hotel
106,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
109,Saint-Georges,GD,79.72,light rain,12.0564,-61.7485,Radisson Grenada Beach Resort
110,Young,UY,85.62,clear sky,-32.6833,-57.6333,Posada Gira el Sol
113,Harper,LR,77.95,light rain,4.375,-7.7169,Screensaver
115,Mar Del Plata,AR,76.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
120,Vallenar,CL,79.21,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
129,Arraial Do Cabo,BR,76.86,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
147,Dhidhdhoo,MV,80.98,overcast clouds,6.8833,73.1,Dhidhoo beach
149,Victoria,HK,75.38,scattered clouds,22.2855,114.1577,Mini Central
151,Macas,EC,80.35,broken clouds,-2.3167,-78.1167,Casa Upano
152,Nueva Gerona,CU,82.02,few clouds,21.8833,-82.8,Casa de la Alegria
154,Axim,GH,78.78,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
155,Dabakala,CI,77.2,clear sky,8.3667,-4.4333,Mosquée
157,Ibia,BR,76.46,light rain,-19.4783,-46.5389,Hotel Triângulo
158,Carora,VE,82.8,overcast clouds,10.1755,-70.0827,Hotel Irpinia
167,Matara,LK,75.74,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
178,Tabou,CI,78.01,light rain,4.423,-7.3528,hotêl doufoulougou
184,Santa Rosa,PH,78.78,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
193,Dingle,PH,75.56,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Kapoeta,SS,81.18,light rain,4.7717,33.5903,Lokoges PHCC
206,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
208,Viedma,AR,80.85,clear sky,-40.8135,-62.9967,Hotel Cristal
212,Omboue,GA,77.16,broken clouds,-1.5746,9.2618,Hotel Olako
220,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
222,Puerto Madryn,AR,79.52,clear sky,-42.7692,-65.0385,Hotel Tolosa
223,Itaqui,BR,83.71,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
225,Jardim,BR,78.96,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
229,Carauari,BR,86.97,light rain,-4.8828,-66.8958,Hotel Fellip
236,Caravelas,BR,76.98,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
238,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
240,Aden,YE,79.32,clear sky,12.7794,45.0367,Sama Emirate Hotel
246,Bonthe,SL,78.57,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
249,Parrita,CR,79.29,broken clouds,9.5201,-84.3225,Beso del Viento
257,Kavaratti,IN,81.34,overcast clouds,10.5669,72.642,Green leaf
260,Salaga,GH,80.19,few clouds,8.5508,-0.5188,Bore Nada Guest House
266,San Pedro,PH,78.03,light rain,14.35,121.0167,Palines Apartment and Guesthouse
272,Nkpor,NG,78.17,overcast clouds,6.1516,6.8446,First choice Hotel
275,Touros,BR,78.42,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
282,Inirida,CO,84.27,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
293,Carutapera,BR,79.9,scattered clouds,-1.195,-46.02,Lidera
296,Chikwawa,MW,76.06,few clouds,-16.0335,34.8009,Thawale Lodge
297,Manati,PR,83.86,few clouds,18.4275,-66.4921,Manati World Point Inn
314,Guasdualito,VE,82.18,overcast clouds,7.2424,-70.7324,Hotel Cuibas
319,Epe,NG,77.99,light rain,6.5841,3.9834,MAGVILLE HOTEL
327,Mount Pleasant,US,76.08,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
328,Mahibadhoo,MV,81.3,overcast clouds,3.7833,72.9667,Omadhoo Inn
330,Muli,MV,81.27,broken clouds,2.9167,73.5667,Medhufushi Island Resort
331,Nisia Floresta,BR,79.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
333,Isla Mujeres,MX,86.16,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
338,Bentiu,SS,77.49,broken clouds,9.2333,29.8333,Mandela hôtel
341,Sur,OM,78.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
342,Sasaima,CO,76.46,overcast clouds,4.9661,-74.4351,Casa Cacao
349,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
350,Sao Jose Da Coroa Grande,BR,77.95,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
352,Caibarien,CU,85.32,few clouds,22.5206,-79.4669,La Nena
354,Toma,BF,79.65,overcast clouds,12.7667,-2.8833,Auberge de l'amitié
357,Bubaque,GW,82.99,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
361,Vryburg,ZA,75.99,broken clouds,-26.9566,24.7284,The Times Premier Lodge
367,Muisne,EC,76.17,broken clouds,0.6,-80.0333,Quinta Samay
376,Mahajanga,MG,77.02,thunderstorm,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
377,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
379,Marsh Harbour,BS,80.06,few clouds,26.5412,-77.0636,Abaco Beach Resort
380,Sinnamary,GF,80.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
383,Calama,CL,75.69,clear sky,-22.4667,-68.9333,Park Hotel Calama
386,Cockburn Town,TC,81.55,clear sky,21.4612,-71.1419,Osprey Beach Hotel
394,Miraflores,MX,78.98,clear sky,19.2167,-98.8083,Hotel Mansión
396,Kulhudhuffushi,MV,81.01,overcast clouds,6.6221,73.07,Haajy Guest House 1
400,Loandjili,CG,76.98,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
402,La Asuncion,VE,81.91,light rain,11.0333,-63.8628,Colinas de Matasiete
404,Rawson,AR,79.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
408,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
414,Charleston,US,76.1,scattered clouds,32.7766,-79.9309,"Mills House Charleston, Curio Collection by Hilton"
418,Tarrafal,CV,75.99,broken clouds,15.2833,-23.7667,Hotel Ixola
426,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
427,Navrongo,GH,79.25,clear sky,10.8956,-1.0921,Azakka Hotel
429,Manaure,CO,85.71,broken clouds,11.7751,-72.4445,Hotel Palaaima
430,Iseyin,NG,76.66,scattered clouds,7.9667,3.6,Momak Hotels And Suites
432,Cabanas,CU,81.52,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
439,Takoradi,GH,79.36,few clouds,4.8845,-1.7554,Raybow International Hotel
441,Piacabucu,BR,77.74,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
445,Amontada,BR,80.74,few clouds,-3.3617,-39.8317,Casa do Otávio
449,Trinidad,BO,85.98,scattered clouds,-14.8333,-64.9,Hotel Piesta
450,Cartagena,CO,82.02,heavy intensity rain,10.3997,-75.5144,Hotel Colombia Real - Cartagena
452,General Pico,AR,86.32,broken clouds,-35.6566,-63.7568,Euskadi Hotel
454,Pontes E Lacerda,BR,88.68,overcast clouds,-15.2261,-59.3353,Hotel Bressan
456,Padilla,CO,80.17,overcast clouds,3.2204,-76.3139,La Granadina
460,Cartagena Del Chaira,CO,77.27,heavy intensity rain,1.3349,-74.8429,HOTEL LA ROCA
463,Tutoia,BR,79.27,clear sky,-2.7619,-42.2744,Pousada Guará's
467,Remanso,BR,83.34,broken clouds,-9.6179,-42.0831,Hotel Mangueira
468,Boffa,GN,76.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
469,Ipixuna,BR,78.91,broken clouds,-1.7625,-48.8043,Chalé do Mato
475,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
479,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
482,Savannah Bight,HN,82.98,clear sky,16.45,-85.85,Villa on Dunbar Rock
483,Kudahuvadhoo,MV,81.1,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
485,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
486,Andros Town,BS,81.3,clear sky,24.7,-77.7667,CBH
