City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jumla,NP,29.2747,82.1838,39.16,79,3,4.0,clear sky
1,Bredasdorp,ZA,-34.5322,20.0403,63.19,81,54,10.51,light rain
2,Langen,DE,49.9933,8.6728,55.56,89,100,4.61,light rain
3,Geraldton,AU,-28.7667,114.6,54.01,82,2,3.44,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,57.31,38,0,31.07,clear sky
5,Georgetown,MY,5.4112,100.3354,81.23,88,20,0.0,few clouds
6,Mazagao,BR,-0.115,-51.2894,86.05,66,96,6.24,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,61.81,82,100,6.8,light rain
8,Cape Town,ZA,-33.9258,18.4232,63.88,87,90,3.0,overcast clouds
9,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,34,9.15,light rain
10,Busselton,AU,-33.65,115.3333,53.47,86,43,7.92,scattered clouds
11,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,17.27,light rain
12,Nagpur,IN,21.15,79.1,60.82,82,0,0.0,haze
13,Oranjestad,AW,12.524,-70.027,84.9,80,40,17.27,scattered clouds
14,Qaanaaq,GL,77.484,-69.3632,-3.28,73,9,6.91,clear sky
15,Killybegs,IE,54.6333,-8.45,45.41,85,99,12.35,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,60.46,36,75,11.5,broken clouds
17,Tromso,NO,69.6496,18.957,30.22,93,75,4.61,broken clouds
18,Chuy,UY,-33.6971,-53.4616,70.66,47,0,11.61,clear sky
19,Paamiut,GL,61.994,-49.6678,19.51,79,100,7.16,overcast clouds
20,Narsaq,GL,60.9167,-46.05,30.42,96,100,3.74,light snow
21,East London,ZA,-33.0153,27.9116,68.2,75,100,19.53,overcast clouds
22,Bystryy Istok,RU,52.371,84.3873,38.95,66,100,21.74,overcast clouds
23,Port Alfred,ZA,-33.5906,26.891,61.18,89,76,4.0,broken clouds
24,Tasiilaq,GL,65.6145,-37.6368,32.16,64,15,6.6,few clouds
25,Okitipupa,NG,6.5047,4.7839,74.71,94,91,2.26,light rain
26,Thornbury,GB,52.2333,-2.55,47.48,96,72,10.38,broken clouds
27,Iqaluit,CA,63.7506,-68.5145,0.7,77,69,15.99,broken clouds
28,Jamestown,US,42.097,-79.2353,36.99,75,100,8.05,light snow
29,Malanville,BJ,11.8685,3.3899,76.42,18,25,7.92,scattered clouds
30,Talara,PE,-4.5772,-81.2719,72.36,64,0,16.11,clear sky
31,Wajir,KE,1.7471,40.0573,79.38,70,21,13.71,light rain
32,Manta,EC,-0.95,-80.7333,76.78,69,0,17.27,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,69.71,69,100,4.34,overcast clouds
34,Porangatu,BR,-13.4408,-49.1486,81.46,65,100,1.39,overcast clouds
35,Muros,ES,42.7762,-9.0603,58.08,90,100,15.99,overcast clouds
36,Bengkulu,ID,-3.8004,102.2655,75.52,87,100,9.57,overcast clouds
37,Quatre Cocos,MU,-20.2078,57.7625,68.09,58,58,9.35,broken clouds
38,Fez,MA,34.0372,-4.9998,59.25,38,0,8.05,clear sky
39,Dikson,RU,73.5069,80.5464,-8.91,99,15,5.3,few clouds
40,Oktyabrskoye,RU,43.0645,44.7417,23.14,93,2,6.71,clear sky
41,Bandarbeyla,SO,9.4942,50.8122,78.96,74,11,16.28,few clouds
42,Pisco,PE,-13.7,-76.2167,71.65,64,0,19.57,clear sky
43,Ibirite,BR,-20.0219,-44.0589,69.31,92,100,3.27,overcast clouds
44,Cristalina,BR,-16.7686,-47.6136,69.53,77,97,3.04,overcast clouds
45,Jalu,LY,29.0331,21.5482,61.32,49,0,2.77,clear sky
46,Port Elizabeth,ZA,-33.918,25.5701,63.32,79,37,7.0,scattered clouds
47,Godda,IN,24.8333,87.2167,61.95,50,0,2.17,clear sky
48,Lakselv,NO,70.0513,24.9718,36.34,84,97,6.11,overcast clouds
49,Bambous Virieux,MU,-20.3428,57.7575,68.22,58,35,8.9,scattered clouds
50,Quebo,GW,11.3333,-14.9333,77.59,78,100,4.41,overcast clouds
51,Namibe,AO,-15.1961,12.1522,66.42,81,24,10.31,few clouds
52,Bagepalli,IN,13.7847,77.7931,70.97,76,96,3.96,overcast clouds
53,Sao Filipe,CV,14.8961,-24.4956,75.96,72,67,6.69,broken clouds
54,Mungwi,ZM,-10.1732,31.3694,70.11,54,85,2.06,overcast clouds
55,Lumberton,US,34.6182,-79.0086,62.91,94,100,5.48,overcast clouds
56,Benguela,AO,-12.5763,13.4055,73.69,73,84,3.89,broken clouds
57,Chulumani,BO,-16.4096,-67.5263,75.9,64,66,5.97,broken clouds
58,Ilulissat,GL,69.2167,-51.1,23.02,93,100,4.61,light snow
59,Port Blair,IN,11.6667,92.75,76.46,88,100,3.96,heavy intensity rain
60,Kruisfontein,ZA,-34.0033,24.7314,58.89,79,70,9.89,broken clouds
61,Mahebourg,MU,-20.4081,57.7,68.25,59,24,8.81,few clouds
62,Kashi,CN,39.4547,75.9797,35.98,40,3,0.89,clear sky
63,Saint Anthony,US,45.0205,-93.218,34.12,92,100,10.36,light snow
64,Jevicko,CZ,49.6322,16.7113,48.27,55,95,2.57,overcast clouds
65,Atbasar,KZ,51.8,68.3333,24.66,94,99,16.08,light snow
66,Krasnyy Kholm,RU,58.0607,37.1203,27.03,77,100,4.18,overcast clouds
67,Hlotse,LS,-28.8718,28.045,58.17,69,32,3.27,scattered clouds
