City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narrabri,AU,2022-11-15 02:40:04,-30.3167,149.7833,74.52,57,80,3.0
1,Cape Town,ZA,2022-11-15 02:40:04,-33.9258,18.4232,61.12,81,0,4.16
2,Bambous Virieux,MU,2022-11-15 02:40:05,-20.3428,57.7575,71.85,60,75,9.22
3,Ulaangom,MN,2022-11-15 02:40:05,49.9811,92.0667,19.0,89,96,0.69
4,Olinda,BR,2022-11-15 02:35:27,-8.0089,-34.8553,80.33,69,40,5.75
5,Oranjemund,NA,2022-11-15 02:36:42,-28.55,16.4333,58.24,93,25,1.54
6,Hermanus,ZA,2022-11-15 02:40:06,-34.4187,19.2345,61.81,84,0,12.33
7,Balezino,RU,2022-11-15 02:40:06,57.9796,53.0106,17.46,79,100,12.08
8,East London,ZA,2022-11-15 02:40:06,-33.0153,27.9116,64.22,80,95,19.26
9,Saint Anthony,US,2022-11-15 02:40:07,45.0205,-93.218,30.65,90,100,8.05
10,Abomsa,ET,2022-11-15 02:40:07,9.9833,39.9833,63.66,51,0,7.07
11,Atuona,PF,2022-11-15 02:37:39,-9.8,-139.0333,77.79,76,4,16.04
12,Punta Arenas,CL,2022-11-15 02:40:08,-53.15,-70.9167,50.11,81,40,17.27
13,Ushuaia,AR,2022-11-15 02:40:08,-54.8,-68.3,46.06,87,0,4.61
14,Fairbanks,US,2022-11-15 02:35:17,64.8378,-147.7164,28.09,92,100,4.61
15,Jackson,US,2022-11-15 02:38:42,42.4165,-122.8345,47.44,71,0,1.99
16,Ribeira Grande,PT,2022-11-15 02:40:09,38.5167,-28.7,60.78,85,36,5.99
17,Sechura,PE,2022-11-15 02:40:10,-5.5569,-80.8222,63.48,84,17,11.77
18,San Jose,US,2022-11-15 02:35:19,37.3394,-121.895,56.08,61,20,6.91
19,Necochea,AR,2022-11-15 02:40:10,-38.5473,-58.7368,57.15,83,0,19.3
20,Bubaque,GW,2022-11-15 02:40:10,11.2833,-15.8333,83.16,69,100,11.63
21,Jacareacanga,BR,2022-11-15 02:40:11,-6.2222,-57.7528,77.76,72,30,1.05
22,Grand Gaube,MU,2022-11-15 02:40:11,-20.0064,57.6608,72.0,60,2,5.01
23,Carnarvon,AU,2022-11-15 02:40:12,-24.8667,113.6333,84.36,38,0,4.9
24,Vaini,TO,2022-11-15 02:36:25,-21.2,-175.2,77.16,94,40,4.61
25,Newberry,US,2022-11-15 02:40:12,34.2746,-81.6187,48.49,69,100,6.31
26,New Norfolk,AU,2022-11-15 02:37:43,-42.7826,147.0587,49.5,81,100,5.01
27,Rikitea,PF,2022-11-15 02:40:13,-23.1203,-134.9692,74.71,83,100,13.15
28,La Ronge,CA,2022-11-15 02:40:13,55.1001,-105.2842,21.45,86,100,3.44
29,Roald,NO,2022-11-15 02:40:13,62.5833,6.1333,55.09,76,100,5.75
30,Upernavik,GL,2022-11-15 02:40:14,72.7868,-56.1549,23.16,91,100,15.68
31,Puerto Ayora,EC,2022-11-15 02:36:27,-0.7393,-90.3518,69.55,87,59,5.01
32,Agirish,RU,2022-11-15 02:40:14,61.9247,63.0231,-0.49,91,100,11.07
33,Lebu,CL,2022-11-15 02:40:15,-37.6167,-73.65,54.21,92,30,1.48
34,Namibe,AO,2022-11-15 02:40:15,-15.1961,12.1522,64.11,81,100,4.45
35,Jamestown,US,2022-11-15 02:40:16,42.097,-79.2353,35.19,91,100,3.44
36,Dingle,PH,2022-11-15 02:40:16,10.9995,122.6711,86.16,73,99,9.66
37,Manitouwadge,CA,2022-11-15 02:40:16,49.1215,-85.8403,19.36,91,100,4.59
38,Khatanga,RU,2022-11-15 02:40:17,71.9667,102.5,-7.74,97,100,14.58
39,Kapaa,US,2022-11-15 02:36:43,22.0752,-159.319,82.38,74,40,17.27
40,Concordia,AR,2022-11-15 02:40:17,-31.393,-58.0209,63.79,58,1,3.0
41,Faanui,PF,2022-11-15 02:40:17,-16.4833,-151.75,78.91,78,100,4.76
42,Thompson,CA,2022-11-15 02:37:40,55.7435,-97.8558,1.56,85,0,0.0
43,Baglung,NP,2022-11-15 02:40:18,28.2719,83.5898,63.97,57,0,0.56
44,Nikolskoye,RU,2022-11-15 02:40:17,59.7035,30.7861,35.49,97,100,8.03
45,Geraldton,AU,2022-11-15 02:37:46,-28.7667,114.6,90.01,13,0,16.11
46,Haverfordwest,GB,2022-11-15 02:41:19,51.8017,-4.9691,54.05,96,100,5.99
47,Pisco,PE,2022-11-15 02:37:18,-13.7,-76.2167,66.25,77,100,8.05
48,Piacabucu,BR,2022-11-15 02:41:19,-10.4056,-36.4344,76.75,87,12,12.33
49,Plover,US,2022-11-15 02:41:20,44.4564,-89.544,31.19,73,100,5.75
50,Norman Wells,CA,2022-11-15 02:41:20,65.282,-126.8329,19.44,93,100,24.16
